id,symptoms,vaidya_name,panchakarma,username,password,vaidya_description,Therapist_Name,Therapist_Password
1131,kapha disorder,Vaidya Rajesh Rane,Vamana,vaidya.rajesh.rane,0SgaJDJC,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.,Dr. Anjali Das,8FWLweMB
1132,"respiratory issue, kapha disorder",Vaidya Vinod Jadhav,Vamana,vaidya.vinod.jadhav,Awy3eQQ1,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda.",Dr. Karan Singh,qBz3Ugtz
1133,stuffy nose,Vaidya Nisha Bhat,Nasya,vaidya.nisha.bhat,pnVoc6yi,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices.",Dr. Arjun Kapoor,1yoABgx4
1134,"allergy, psoriasis",Vaidya Seema Verma,Virechana,vaidya.seema.verma,AG02noZf,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal.",Dr. Karan Singh,8JDoIHRA
1135,"back pain, constipation, arthritis",Vaidya Sandeep Joshi,Basti,vaidya.sandeep.joshi,XEVH9xF9,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.,Dr. Arjun Kapoor,wEGqKqOM
1136,liver problem,Vaidya Gopal Menon,Virechana,vaidya.gopal.menon,B5AYNSGO,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies.",Dr. Pooja Nair,SrGT29na
1137,"joint pain, constipation, gastric problem",Vaidya Tarun Bhosale,Basti,vaidya.tarun.bhosale,w6G68xNv,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.,Dr. Karan Singh,hyhUIwLr
1138,"eczema, liver problem, psoriasis",Vaidya Sandeep Joshi,Virechana,vaidya.sandeep.joshi,jGo18i7r,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies.",Dr. Kavita Bansal,GlrKmCdJ
1139,"cold, nose block, headache",Vaidya Deepak Shukla,Nasya,vaidya.deepak.shukla,bu807zw5,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal.",Dr. Manish Agarwal,UnSCXgBI
1140,"gout, ulcer",Vaidya Anita Singh,Raktamokshana,vaidya.anita.singh,yBCH0YOO,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.,Dr. Rohit Gupta,U4OsfQQ8
1141,sinus,Vaidya Arjun Desai,Nasya,vaidya.arjun.desai,wDlLYVho,Known for creating personalized Panchakarma plans to treat digestive imbalances. Author of 'Modern Panchakarma Approaches' and consultant at leading wellness centers.,Dr. Pooja Nair,DS8pr1tO
1142,"acne, ulcer",Vaidya Geeta Patil,Raktamokshana,vaidya.geeta.patil,qRWGvS2S,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma.",Dr. Aditi Sharma,N7EHDbK6
1143,"allergy, sinus",Vaidya Nisha Bhat,Nasya,vaidya.nisha.bhat,GrtvhSnF,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health.",Dr. Rajesh Mehta,oGw3JeuU
1144,asthma,Vaidya Neha Mehta,Vamana,vaidya.neha.mehta,zhIaRNGG,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award.",Dr. Ritu Malhotra,s5QyTTjC
1145,"asthma, cough",Vaidya Lata More,Vamana,vaidya.lata.more,77xHf8Wm,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda.",Dr. Suresh Pillai,LAtmoPOR
1146,"constipation, back pain, joint pain",Vaidya Rohit Patil,Basti,vaidya.rohit.patil,P8R712tt,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.,Dr. Manish Agarwal,GQlHqyKn
1147,"acidity, allergy",Vaidya Seema Verma,Virechana,vaidya.seema.verma,IzGj2mrw,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.,Dr. Suresh Pillai,ScgDuHhU
1148,"indigestion, back pain",Vaidya Seema Verma,Basti,vaidya.seema.verma,16bSZUG2,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.,Dr. Priya Reddy,I1IBUaLr
1149,stuffy nose,Vaidya Vivek Kulkarni,Nasya,vaidya.vivek.kulkarni,QWhSlxJe,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.,Dr. Rajesh Mehta,JDTNxcPu
1150,ulcer,Vaidya Nitin Bhandari,Raktamokshana,vaidya.nitin.bhandari,ahdd6igC,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness.",Dr. Aditi Sharma,ou1CUEEN
1151,kapha disorder,Vaidya Neha Mehta,Vamana,vaidya.neha.mehta,J0tNobre,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies.",Dr. Arjun Kapoor,m3K9pDjz
1152,"inflammation, acne, ulcer",Vaidya Jyoti Rao,Raktamokshana,vaidya.jyoti.rao,YXCIMDFW,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma.",Dr. Rajesh Mehta,9pvft8ot
1153,"pimples, psoriasis, eczema",Vaidya Sandeep Joshi,Virechana,vaidya.sandeep.joshi,cG72xDsB,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.,Dr. Ritu Malhotra,uhue4VHS
1154,"respiratory issue, kapha disorder, obesity",Vaidya Sunil Patil,Vamana,vaidya.sunil.patil,mdrAcc0A,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.,Dr. Priya Reddy,fhzu5QAH
1155,"indigestion, gastric problem, arthritis",Vaidya Sandeep Joshi,Basti,vaidya.sandeep.joshi,Nwglrkd2,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health.",Dr. Aditi Sharma,3oXkkSXG
1156,acne,Vaidya Anita Singh,Raktamokshana,vaidya.anita.singh,uSGhDrQd,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.,Dr. Aditi Sharma,8WjAo4Cs
1157,nose block,Vaidya Deepak Shukla,Nasya,vaidya.deepak.shukla,W31dOMQo,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.,Dr. Ritu Malhotra,LEr2Hi6w
1158,"stuffy nose, allergy",Vaidya Manisha Patil,Nasya,vaidya.manisha.patil,undGSa2M,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies.",Dr. Vivek Rao,NVfomcUL
1159,cough,Vaidya Rajesh Rane,Vamana,vaidya.rajesh.rane,phS7xFDk,Acclaimed practitioner treating autoimmune disorders through Panchakarma detox therapies. Trained more than 100 Ayurveda students in traditional practices.,Dr. Aditi Sharma,zISQ4Tqq
1160,headache,Vaidya Kiran Joshi,Nasya,vaidya.kiran.joshi,OFQOqUKe,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.,Dr. Vivek Rao,4moGXWv1
1161,allergy,Vaidya Mohan Sharma,Virechana,vaidya.mohan.sharma,4lnjGNC2,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.,Dr. Rajesh Mehta,lWEiyLM3
1162,acidity,Vaidya Gopal Menon,Virechana,vaidya.gopal.menon,srLWV975,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.,Dr. Pooja Nair,1Md3oiTT
1163,eczema,Vaidya Sandeep Joshi,Virechana,vaidya.sandeep.joshi,49Pr0GuQ,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies.",Dr. Rohit Gupta,ns2CDqQj
1164,"allergy, migraine",Vaidya Vivek Kulkarni,Nasya,vaidya.vivek.kulkarni,vtfCOTA5,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.,Dr. Manish Agarwal,ksDPPafM
1165,"psoriasis, skin rashes",Vaidya Sandeep Joshi,Virechana,vaidya.sandeep.joshi,lIDeSM1D,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies.",Dr. Neha Verma,ajSTLCyv
1166,respiratory issue,Vaidya Lata More,Vamana,vaidya.lata.more,9WaAE02e,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.,Dr. Suresh Pillai,kwflOLgH
1167,"blood impure, ulcer, skin boils",Vaidya Prakash Nair,Raktamokshana,vaidya.prakash.nair,a5LsvISk,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda.",Dr. Suresh Pillai,KU1u5WoF
1168,"joint pain, indigestion",Vaidya Tarun Bhosale,Basti,vaidya.tarun.bhosale,LHyB7Ceq,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health.",Dr. Vivek Rao,RcGIoLQ8
1169,"acne, blood impure",Vaidya Ashok Kulkarni,Raktamokshana,vaidya.ashok.kulkarni,CvtJid3q,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness.",Dr. Neha Verma,tQYSsrhj
1170,"kapha disorder, bronchitis",Vaidya Neha Mehta,Vamana,vaidya.neha.mehta,uWAJLxEt,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health.",Dr. Kavita Bansal,ggsSTJKT
1171,"gout, skin boils",Vaidya Anita Singh,Raktamokshana,vaidya.anita.singh,6QixIgKj,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities.",Dr. Vivek Rao,nixgQuS1
1172,nose block,Vaidya Manisha Patil,Nasya,vaidya.manisha.patil,MGDOxfvD,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.,Dr. Karan Singh,pAA9Q4Lg
1173,cough,Vaidya Amit Deshmukh,Vamana,vaidya.amit.deshmukh,YHraRLQJ,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award.",Dr. Pooja Nair,xMbxKUT8
1174,"kapha disorder, asthma, respiratory issue",Vaidya Pooja Sharma,Vamana,vaidya.pooja.sharma,11XA4RgO,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health.",Dr. Priya Reddy,YhdQuauy
1175,skin rashes,Vaidya Aarti Kulkarni,Virechana,vaidya.aarti.kulkarni,4BgIylkx,Known for creating personalized Panchakarma plans to treat digestive imbalances. Author of 'Modern Panchakarma Approaches' and consultant at leading wellness centers.,Dr. Manish Agarwal,AoQteEIR
1176,asthma,Vaidya Kunal Thakur,Vamana,vaidya.kunal.thakur,YZCs9zCC,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities.",Dr. Rohit Gupta,EamYKaGF
1177,"pimples, acidity, eczema",Vaidya Aarti Kulkarni,Virechana,vaidya.aarti.kulkarni,yFFjrcvf,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management.",Dr. Karan Singh,QGWCcCoK
1178,"back pain, constipation",Vaidya Ritu Deshmukh,Basti,vaidya.ritu.deshmukh,J8XLo803,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award.",Dr. Vivek Rao,Tq7HIVzc
1179,"joint pain, constipation",Vaidya Aarti Kulkarni,Basti,vaidya.aarti.kulkarni,TRFThwV4,Acclaimed practitioner treating autoimmune disorders through Panchakarma detox therapies. Trained more than 100 Ayurveda students in traditional practices.,Dr. Ritu Malhotra,RM1gSLfu
1180,"indigestion, gastric problem",Vaidya Gopal Menon,Basti,vaidya.gopal.menon,boXzDKFf,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma.",Dr. Manish Agarwal,8AYXBg05
1181,acidity,Vaidya Rohit Patil,Virechana,vaidya.rohit.patil,slR98kmK,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal.",Dr. Manish Agarwal,iNOcZLu3
1182,"nose block, allergy",Vaidya Priya Nair,Nasya,vaidya.priya.nair,q6Bf0JzW,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.,Dr. Aditi Sharma,d5Dlbx8N
1183,nose block,Vaidya Nisha Bhat,Nasya,vaidya.nisha.bhat,BMxuk3id,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma.",Dr. Aditi Sharma,MYBEGB9p
1184,liver problem,Vaidya Anjali Nair,Virechana,vaidya.anjali.nair,kAtQ3FJW,Known for creating personalized Panchakarma plans to treat digestive imbalances. Author of 'Modern Panchakarma Approaches' and consultant at leading wellness centers.,Dr. Kavita Bansal,jxpM5v6z
1185,"psoriasis, skin rashes",Vaidya Ritu Deshmukh,Virechana,vaidya.ritu.deshmukh,BlKT87GC,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award.",Dr. Vivek Rao,p7Aplysy
1186,constipation,Vaidya Anjali Nair,Basti,vaidya.anjali.nair,zRZ4fEWf,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.,Dr. Neha Verma,rqHJmgEb
1187,"eczema, liver problem, psoriasis",Vaidya Mohan Sharma,Virechana,vaidya.mohan.sharma,m6JgMMs4,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management.",Dr. Rajesh Mehta,TSbaubzO
1188,"respiratory issue, cough, asthma",Vaidya Amit Deshmukh,Vamana,vaidya.amit.deshmukh,0K5e7ZQE,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health.",Dr. Arjun Kapoor,t8Y6Zr2m
1189,"ulcer, blood impure, skin boils",Vaidya Geeta Patil,Raktamokshana,vaidya.geeta.patil,7Qn29w4n,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award.",Dr. Arjun Kapoor,ah7NDG8w
1190,cold,Vaidya Vivek Kulkarni,Nasya,vaidya.vivek.kulkarni,N26itYnb,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.,Dr. Pooja Nair,sihie8OA
1191,"kapha disorder, asthma",Vaidya Kunal Thakur,Vamana,vaidya.kunal.thakur,HkCz4BLy,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.,Dr. Priya Reddy,yPp2aMtY
1192,skin rashes,Vaidya Tarun Bhosale,Virechana,vaidya.tarun.bhosale,q5TUnLga,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.,Dr. Rohit Gupta,EMDHsuw1
1193,ulcer,Vaidya Suresh Reddy,Raktamokshana,vaidya.suresh.reddy,DeKqnzUk,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management.",Dr. Sneha Iyer,4SKgn7g2
1194,migraine,Vaidya Arjun Desai,Nasya,vaidya.arjun.desai,5Q3w0qvg,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.,Dr. Pooja Nair,rthE8WwQ
1195,indigestion,Vaidya Ritu Deshmukh,Basti,vaidya.ritu.deshmukh,jSe0GLz7,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.,Dr. Pooja Nair,94IlARHZ
1196,"cough, bronchitis",Vaidya Kunal Thakur,Vamana,vaidya.kunal.thakur,iVirSeWY,Known for creating personalized Panchakarma plans to treat digestive imbalances. Author of 'Modern Panchakarma Approaches' and consultant at leading wellness centers.,Dr. Neha Verma,r2LJGUVa
1197,"pimples, eczema, psoriasis",Vaidya Ritu Deshmukh,Virechana,vaidya.ritu.deshmukh,OEKBE9Q2,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.,Dr. Rohit Gupta,8BrPRMpM
1198,"blood impure, skin boils, inflammation",Vaidya Anita Singh,Raktamokshana,vaidya.anita.singh,obz1uGwx,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities.",Dr. Rajesh Mehta,GvfswtZV
1199,"gastric problem, constipation, arthritis",Vaidya Rohit Patil,Basti,vaidya.rohit.patil,PoSwjjBu,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma.",Dr. Kavita Bansal,KAqWnSHS
1200,"headache, cold",Vaidya Meera Sharma,Nasya,vaidya.meera.sharma,k3NIrYTx,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.,Dr. Suresh Pillai,1WfMWaKs
1201,"cold, migraine, sinus",Vaidya Priya Nair,Nasya,vaidya.priya.nair,GOxj6gIS,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award.",Dr. Arjun Kapoor,pAHDrwsY
1202,"indigestion, constipation",Vaidya Kavya Reddy,Basti,vaidya.kavya.reddy,yn5uLjeh,Acclaimed practitioner treating autoimmune disorders through Panchakarma detox therapies. Trained more than 100 Ayurveda students in traditional practices.,Dr. Arjun Kapoor,rYyxYZpD
1203,"skin boils, inflammation",Vaidya Prakash Nair,Raktamokshana,vaidya.prakash.nair,tL7hb9NU,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.,Dr. Arjun Kapoor,fn5nlWI7
1204,"acidity, allergy",Vaidya Aarti Kulkarni,Virechana,vaidya.aarti.kulkarni,UdBTHedw,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award.",Dr. Sneha Iyer,LSoAsvH4
1205,"sinus, headache",Vaidya Deepak Shukla,Nasya,vaidya.deepak.shukla,7S9oeaTS,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.,Dr. Rohit Gupta,yX49kFTP
1206,"pimples, allergy, skin rashes",Vaidya Seema Verma,Virechana,vaidya.seema.verma,PKQe1Nwz,Acclaimed practitioner treating autoimmune disorders through Panchakarma detox therapies. Trained more than 100 Ayurveda students in traditional practices.,Dr. Sneha Iyer,wWUnN6hj
1207,"pimples, liver problem, psoriasis",Vaidya Sandeep Joshi,Virechana,vaidya.sandeep.joshi,wvvprbe0,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.,Dr. Kavita Bansal,7KSmmE13
1208,indigestion,Vaidya Ritu Deshmukh,Basti,vaidya.ritu.deshmukh,DC2Fjiw5,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal.",Dr. Rohit Gupta,lIQ9JsgW
1209,inflammation,Vaidya Manohar Joshi,Raktamokshana,vaidya.manohar.joshi,idBWRoKt,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award.",Dr. Priya Reddy,1NPMKShT
1210,"constipation, gastric problem, indigestion",Vaidya Mohan Sharma,Basti,vaidya.mohan.sharma,JdLd8Im6,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities.",Dr. Vivek Rao,JAKzfkFr
1211,"liver problem, eczema",Vaidya Gopal Menon,Virechana,vaidya.gopal.menon,TQB90xKe,Known for creating personalized Panchakarma plans to treat digestive imbalances. Author of 'Modern Panchakarma Approaches' and consultant at leading wellness centers.,Dr. Neha Verma,vaswDD1m
1212,"joint pain, gastric problem, indigestion",Vaidya Mohan Sharma,Basti,vaidya.mohan.sharma,Hn7Agv7b,Known for creating personalized Panchakarma plans to treat digestive imbalances. Author of 'Modern Panchakarma Approaches' and consultant at leading wellness centers.,Dr. Karan Singh,wtkQMz2L
1213,"skin rashes, pimples, liver problem",Vaidya Gopal Menon,Virechana,vaidya.gopal.menon,YjWrnpoC,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.,Dr. Rajesh Mehta,x8jJ9DGD
1214,"gastric problem, constipation",Vaidya Sandeep Joshi,Basti,vaidya.sandeep.joshi,f2MixRti,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma.",Dr. Anjali Das,B2KYFSvP
1215,indigestion,Vaidya Seema Verma,Basti,vaidya.seema.verma,MTyQ6BjB,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.,Dr. Pooja Nair,EEiiRdWA
1216,"psoriasis, eczema",Vaidya Mohan Sharma,Virechana,vaidya.mohan.sharma,BfefwyQv,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices.",Dr. Anjali Das,SnI1yzjr
1217,cough,Vaidya Shreya Kulkarni,Vamana,vaidya.shreya.kulkarni,jrcyseox,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda.",Dr. Pooja Nair,vYuSaL7D
1218,indigestion,Vaidya Rohit Patil,Basti,vaidya.rohit.patil,MtPi8yRD,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.,Dr. Manish Agarwal,zdQtJ9ai
1219,"respiratory issue, kapha disorder, bronchitis",Vaidya Sunil Patil,Vamana,vaidya.sunil.patil,p7JjFfYg,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities.",Dr. Karan Singh,s7ihyAmn
1220,"respiratory issue, obesity, cough",Vaidya Neha Mehta,Vamana,vaidya.neha.mehta,krjgwg4j,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal.",Dr. Karan Singh,dRTmSxSU
1221,liver problem,Vaidya Ritu Deshmukh,Virechana,vaidya.ritu.deshmukh,8DiCMmaR,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda.",Dr. Ritu Malhotra,VVGygaxc
1222,"kapha disorder, cough, respiratory issue",Vaidya Sunil Patil,Vamana,vaidya.sunil.patil,NoQWgX5z,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.,Dr. Aditi Sharma,WCS1QQ2V
1223,gout,Vaidya Jyoti Rao,Raktamokshana,vaidya.jyoti.rao,40ZiEfEB,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.,Dr. Vivek Rao,abSQyQgd
1224,ulcer,Vaidya Nitin Bhandari,Raktamokshana,vaidya.nitin.bhandari,AweEZwOh,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management.",Dr. Ritu Malhotra,cUNnxFJT
1225,pimples,Vaidya Mohan Sharma,Virechana,vaidya.mohan.sharma,OQaxVDhy,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices.",Dr. Manish Agarwal,Ol8o4xIm
1226,"headache, allergy, sinus",Vaidya Priya Nair,Nasya,vaidya.priya.nair,vxxOsxn8,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.,Dr. Rohit Gupta,1rFQLcmT
1227,"kapha disorder, bronchitis",Vaidya Lata More,Vamana,vaidya.lata.more,Xl4GofY9,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda.",Dr. Priya Reddy,nQ5A2zr4
1228,"ulcer, skin boils, acne",Vaidya Prakash Nair,Raktamokshana,vaidya.prakash.nair,gSQRRT6c,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal.",Dr. Kavita Bansal,pqEmrK8e
1229,allergy,Vaidya Sandeep Joshi,Virechana,vaidya.sandeep.joshi,c1dtj3lC,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies.",Dr. Suresh Pillai,XaKoV97h
1230,"indigestion, arthritis",Vaidya Ritu Deshmukh,Basti,vaidya.ritu.deshmukh,yBqbF00z,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda.",Dr. Karan Singh,ZPph7lSm
1231,"asthma, kapha disorder",Vaidya Amit Deshmukh,Vamana,vaidya.amit.deshmukh,p3xW7Jgu,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health.",Dr. Aditi Sharma,V3CebPlJ
1232,"acidity, skin rashes",Vaidya Tarun Bhosale,Virechana,vaidya.tarun.bhosale,a1m3kcPG,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices.",Dr. Rajesh Mehta,oelLe2BK
1233,asthma,Vaidya Rajesh Rane,Vamana,vaidya.rajesh.rane,OKYZiNqi,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma.",Dr. Neha Verma,p2h8iv1X
1234,joint pain,Vaidya Gopal Menon,Basti,vaidya.gopal.menon,Nqlgwnif,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.,Dr. Manish Agarwal,Tof0Fiml
1235,"migraine, allergy, nose block",Vaidya Kiran Joshi,Nasya,vaidya.kiran.joshi,9FjAycJf,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies.",Dr. Kavita Bansal,BMWeYSRD
1236,skin boils,Vaidya Arvind Sharma,Raktamokshana,vaidya.arvind.sharma,PQ45mU3L,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health.",Dr. Karan Singh,usZE5I6k
